iter	Passed	Remaining
410	12068	17295
411	12091	17256
412	12122	17229
413	12163	17216
414	12186	17177
415	12207	17137
416	12229	17098
417	12257	17066
418	12293	17046
419	12312	17002
420	12335	16964
421	12348	16913
422	12373	16877
423	12395	16839
424	12417	16799
425	12439	16761
426	12468	16731
427	12490	16693
428	12513	16655
429	12536	16617
430	12559	16580
431	12585	16547
432	12608	16510
433	12624	16463
434	12642	16420
435	12662	16379
436	12687	16345
437	12707	16305
438	12727	16264
439	12747	16224
440	12766	16182
441	12788	16144
442	12807	16103
443	12827	16063
444	12848	16024
445	12874	15991
446	12894	15952
447	12913	15910
448	12932	15870
449	12952	15830
450	12976	15795
451	12998	15758
452	13022	15724
453	13040	15682
454	13062	15646
455	13084	15609
456	13110	15577
457	13129	15537
458	13156	15506
459	13182	15474
460	13204	15438
461	13230	15407
462	13248	15366
463	13273	15333
464	13288	15289
465	13305	15246
466	13323	15206
467	13343	15168
468	13368	15135
469	13386	15095
470	13411	15062
471	13429	15023
472	13447	14982
473	13464	14941
474	13485	14904
475	13505	14866
476	13528	14833
477	13555	14802
478	13571	14761
479	13595	14728
480	13617	14693
481	13638	14656
482	13658	14619
483	13678	14582
484	13699	14546
485	13721	14511
486	13742	14476
487	13766	14443
488	13817	14438
489	13872	14438
490	13895	14405
491	13916	14368
492	13939	14334
493	13956	14295
494	13976	14258
495	14005	14231
496	14034	14204
497	14058	14171
498	14077	14134
499	14102	14102
500	14124	14068
501	14143	14030
502	14166	13997
503	14189	13964
504	14211	13930
505	14236	13898
506	14257	13863
507	14278	13828
508	14299	13794
509	14324	13762
510	14344	13726
511	14364	13690
512	14384	13655
513	14407	13622
514	14427	13587
515	14454	13557
516	14475	13523
517	14495	13487
518	14522	13459
519	14545	13426
520	14568	13394
521	14590	13360
522	14608	13323
523	14632	13291
524	14655	13259
525	14675	13224
526	14700	13194
527	14726	13164
528	14747	13130
529	14770	13098
530	14789	13062
531	14809	13028
532	14838	13000
533	14860	12968
534	14877	12930
535	14896	12895
536	14920	12864
537	14937	12827
538	14956	12791
539	14979	12759
540	15003	12729
541	15023	12695
542	15044	12661
543	15068	12630
544	15085	12594
545	15106	12560
546	15127	12528
547	15152	12497
548	15178	12468
549	15200	12436
550	15219	12402
551	15240	12369
552	15259	12334
553	15281	12302
554	15302	12269
555	15325	12238
556	15347	12206
557	15364	12170
558	15387	12139
559	15409	12107
560	15426	12071
561	15445	12037
562	15466	12005
563	15488	11973
564	15508	11940
565	15529	11908
566	15550	11875
567	15574	11845
568	15604	11819
569	15628	11790
570	15645	11755
571	15666	11722
572	15687	11690
573	15707	11657
574	15728	11625
575	15755	11597
576	15780	11568
577	15801	11536
578	15821	11503
579	15847	11475
580	15872	11447
581	15894	11415
582	15919	11386
583	15939	11354
584	15967	11327
585	15995	11300
586	16017	11269
587	16041	11239
588	16064	11209
589	16087	11179
590	16108	11147
591	16133	11119
592	16154	11087
593	16176	11056
594	16196	11024
595	16220	10994
596	16242	10964
597	16264	10933
598	16285	10902
599	16310	10873
600	16335	10845
601	16356	10813
602	16380	10784
603	16403	10754
604	16423	10722
605	16445	10692
606	16466	10661
607	16486	10629
608	16507	10598
609	16526	10566
610	16547	10535
611	16570	10505
612	16593	10475
613	16619	10448
614	16639	10416
615	16672	10393
616	16699	10365
617	16717	10333
618	16733	10299
619	16751	10267
620	16777	10239
621	16802	10211
622	16831	10185
623	16847	10151
624	16872	10123
625	16900	10097
626	16927	10070
627	16948	10039
628	16969	10009
629	16994	9980
630	17013	9949
631	17033	9918
632	17055	9888
633	17076	9858
634	17098	9828
635	17124	9800
636	17144	9769
637	17164	9738
638	17183	9707
639	17205	9678
640	17222	9645
641	17243	9615
642	17266	9586
643	17287	9556
644	17309	9527
645	17328	9495
646	17346	9464
647	17367	9434
648	17390	9405
649	17414	9377
650	17436	9347
651	17452	9315
652	17473	9285
653	17497	9257
654	17518	9227
655	17543	9199
656	17559	9167
657	17577	9136
658	17601	9107
659	17620	9077
660	17644	9049
661	17667	9020
662	17691	8992
663	17713	8963
664	17732	8932
665	17755	8904
666	17779	8876
667	17801	8847
668	17821	8817
669	17838	8786
670	17858	8756
671	17889	8731
672	17904	8699
673	17924	8669
674	17948	8641
675	17971	8613
676	17993	8584
677	18013	8555
678	18029	8523
679	18048	8493
680	18072	8465
681	18092	8436
682	18118	8409
683	18135	8378
684	18160	8351
685	18196	8328
686	18219	8300
687	18243	8273
688	18265	8244
689	18287	8215
690	18305	8185
691	18325	8156
692	18345	8127
693	18376	8102
694	18400	8074
695	18419	8045
696	18440	8016
697	18464	7988
698	18484	7959
699	18505	7930
700	18525	7901
701	18547	7873
702	18565	7843
703	18589	7815
704	18615	7789
705	18638	7761
706	18659	7733
707	18680	7704
708	18707	7678
709	18728	7649
710	18749	7620
711	18769	7592
712	18792	7564
713	18819	7538
714	18844	7511
715	18865	7483
716	18886	7454
717	18906	7425
718	18924	7396
719	18953	7370
720	18977	7343
721	18997	7314
722	19018	7286
723	19044	7260
724	19071	7234
725	19090	7205
726	19111	7176
727	19132	7148
728	19153	7120
729	19172	7091
730	19192	7062
731	19214	7034
732	19234	7006
733	19257	6978
734	19280	6951
735	19300	6922
736	19318	6893
737	19338	6865
738	19361	6838
739	19379	6809
740	19400	6780
741	19421	6753
742	19442	6725
743	19464	6697
744	19488	6670
745	19510	6642
746	19530	6614
747	19550	6586
748	19566	6556
749	19588	6529
750	19608	6501
751	19630	6473
752	19651	6446
753	19673	6418
