iter	MultiClass
172	0.761627173	0173	0.760618174	0174	0.759009175	0175	0.758127176	0176	0.756980177	0177	0.755800178	0178	0.754670179	0179	0.75337180	0.180	0.75232181	0.7596096853
182	0.182	0.74963183	0.183	0.74837184	0.184	0.74721185	0.185	0.74518186	0.186	0.74414187	0.187	0.74319188	0188	0.742397189	0189	0.740888190	190	0.7401188191	191	0.7389157192	192	0.7379932193	193	0.7366275194	194	0.7352443195195	0.73419726196196	0.73304317197197	0.73217627198198	0.73107186199199	0.7301593200	200	0.7291948201201	0.72811774202	0.7328800906
203	0.732115667
204	0.7314452941
205	0.72991244
206	0.7287342779
207	0.7278015458
208	0.726950045
209	0.7258597869
210	0.7250002696
211	0.7239539704
212	0.7228512525
213	0.7219299823
214	0.7210918625
215	0.719922272
216	0.7187001123
217	0.717439031
218	0.7164913667
219	0.7158223108
220	0.7143880101
221	0.7136040815
222	0.7128874926
223	0.7121811541
224	0.7112860685
225	0.7098647271
226	0.708578354
227	0.7077216303
228	0.7068434209
229	0.7051102411
230	0.7043474659
231	0.7032074102
232	0.7026157803
233	0.7014831938
234	0.7005417934
235	0.6235	0.6946236	0.6236	0.693237	0.69237	0.692238	0.69238	0.691239	0.69239	0.690240	0.69240	0.689241	0.69241	0.688242	0.69242	0.688243	0.69243	0.687244	0.69244	0.686245	0.68245	0.685246	0.6878687228
247	0.6864679181
248	0.685378608
249	0.6839767913
250	0.6827899391
251	0.6816994628
252	0.680252	0.6253	0.6793253	0.6254	0.6788254	0.6255	0.677255	0.67256	0.676256	0.67257	0.675257	0.67258	0.674258	0.67259	0.67259	0.670260	0.67260	0.670261	0.67261	0.669262	0.66262	0.668263	0.66263	0.668264	0.66264	0.667265	0.66265	0.666266	0.66266	0.664267	0.66267	0.664268	0.6268	0.6636269	0.6269	0.6629270	0.6270	0.6619271	0.6271	0.6609272	0.6272	0.6598273	0.6273	0.6587274	0.6274	0.657275	0.6275	0.6566276	0.6276	0.6553277	0.6277	0.6545278	0.6278	0.6537279	0.6279	0.6528280	0.6280	0.6516766837
281	0.6507387342
282	0.6490850065
283	0.6480817053
284	0.6474824429
285	0.6464154189
286	0.6452556455
287	0.6444441009
288	0.6434648424
289	0.6422961155
290	0.6413379787
291	0.6402656099
292	0.6396000509
293	0.638414829
294	0.6374710336
295	0.6365673805
296	0.6352381379
297	0.6342152711
298	0.6335897147
299	0.6324901773
300	0.6313780086
301	0.6305318202
302	0.6294286984
303	0.6285009111
304	0.6274612838
305	0.6266632979
306	0.6256662547
307	0.6248486711
308	0.6234075276
309	0.6223169108
310	0.6212878933
311	0.6204892886
312	0.6197250831
313	0.6186475208
314	0.6179561971
315	0.6171866243
316	0.6161847439
317	0.6155902503
318	0.6152598264
319	0.6145561141
320	0.6137825029
321	0.6128562307
322	0.6119962104
323	0.6111866096
324	0.6104630467
325	0.6097049358
326	0.6087330148
327	0.6076620632
328	0.6068094968
329	0.6061933261
330	0.6052713003
331	0.604437685
332	0.6037214538
333	0.6026650883
334	0.6019162534
335	0.6011698337
336	0.6005888329
337	0.599604621
338	0.598738004
339	0.5978694983
340	0.5974165769
341	0.596518678
342	0.5955391034
343	0.5945967613
344	0.5936183045
345	0.5928022301
346	0.5920841351
347	0.5909118668
348	0.5901365488
349	0.5893899027
350	0.5887935095
351	0.5882515874
352	0.5873393498
353	0.5868911883
354	0.5864797115
355	0.585918124
356	0.5850022729
357	0.5841591711
358	0.5836777103
359	0.582528584
360	0.5816758259
361	0.5813153048
362	0.5804954933
363	0.5798742188
364	0.5791657625
365	0.5785001559
366	0.5775502991
367	0.5765941187
368	0.5759770993
369	0.5751944808
370	0.5746440931
371	0.5739535331
372	0.5731924968
373	0.5726045583
374	0.5717276916
375	0.5709294279
376	0.5701110059
377	0.5693793243
378	0.5683414156
379	0.5675590092
380	0.5669442606
381	0.5659140639
382	0.5651561284
383	0.5643513537
384	0.5634487067
385	0.5627893632
386	0.5618506326
387	0.5609104963
388	0.5601759131
389	0.559369283
390	0.5581461137
391	0.5574110245
392	0.5567401416
393	0.5560991642
394	0.5554372752
395	0.5547343355
396	0.5541198345
397	0.5537552772
398	0.5525489843
399	0.551672507
400	0.5511654931
401	0.550472206
402	0.5491983854
403	0.5485047789
404	0.547584713
405	0.5470312719
406	0.5464789503
407	0.5455581917
408	0.5449941909
409	0.5446274288
410	0.5436920775
411	0.5432894761
412	0.542932191
413	0.5421354136
414	0.541649067
415	0.5405255254
416	0.5399889003
417	0.5395234506
418	0.5385789463
419	0.5382815611
420	0.5374438118
421	0.5366818308
422	0.5361378834
423	0.5349628218
424	0.5344435674
425	0.533964352
426	0.5333763786
427	0.5324022973
428	0.5316362718
429	0.5307113008
430	0.5297224575
431	0.5290034432
432	0.5281611648
433	0.5273205381
434	0.5266537555
435	0.5259934432
436	0.5253658803
437	0.5247896755
438	0.5241445077
439	0.5237627405
440	0.5230379988
441	0.5227507236
442	0.5223693922
443	0.5219255478
444	0.5214138773
445	0.5211374686
446	0.5203134424
447	0.519902261
448	0.5193678098
449	0.5188201661
450	0.5179659907
451	0.5171095772
452	0.5165314783
453	0.5156843569
454	0.5150709266
455	0.514240679
456	0.5133989991
457	0.5129873954
458	0.5120769028
459	0.511774945
460	0.5107895283
461	0.5102540672
462	0.509174099
463	0.5081118083
464	0.5077838793
465	0.5070812042
466	0.5065003848
467	0.5061093361
468	0.5049891812
469	0.50470	0.496470	0.5036800794
471	0.5030847264
472	0.50473	0.494473	0.50474	0.494474	0.50475	0.493475	0.50476	0.492476	0.49477	0.492477	0.49478	0.491478	0.49479	0.490479	0.49480	0.490480	0.49481	0.489481	0.49482	0.489482	0.49483	0.488483	0.49484	0.487484	0.49485	0.487485	0.4486	0.486486	0.49487	0.485487	0.4488	0.4851488	0.4489	0.4847489	0.4490	0.4840490	0.491	0.48345491	0.492	0.48287492	0.493	0.48237493	0.494	0.48175494	0.495	0.48110495	0.496	0.48031496	0.497	0.47991497	0.4860251622
498	0.4848767288
499	0.4841304181
500	0.4835724364
501	0.4829336287
502	0.4822262163
503	0.481808915
504	0.4809770995
505	0.4801449029
506	0.4793795709
507	0.4787861817
508	0.4783161221
509	0.4780463419
510	0.4773009279
511	0.4768256145
512	0.4760837083
513	0.4754736483
514	0.47500659
515	0.4743077011
516	0.4739797297
517	0.4736171935
518	0.4727813341
519	0.4722811027
520	0.4717261095
521	0.4710275156
522	0.4701735939
523	0.4695281375
524	0.4686343193
525	0.4682363617
526	0.4679772305
527	0.4674540274
528	0.4667436561
529	0.4661741421
530	0.4651671816
531	0.4643502837
532	0.4636381965
533	0.4628178927
534	0.462285668
535	0.4615563564
536	0.460994717
537	0.4604265195
538	0.4597571274
539	0.4591034725
540	0.458766801
541	0.4582388118
542	0.4576635517
543	0.4567502763
544	0.4561551645
545	0.4552755569
546	0.4543879276
547	0.4535675274
548	0.452880744
549	0.4524335562
550	0.4519882167
551	0.4514383461
552	0.4511413333
553	0.4505062063
554	0.4499208166
555	0.4492528102
556	0.4484995989
557	0.4478217096
558	0.4471321385
559	0.4467400653
560	0.446326737
561	0.4457711624
562	0.4449631068
563	0.4446210813
564	0.4438487922
565	0.4430348058
566	0.442439795
567	0.4419302254
568	0.4415978172
569	0.4409239794
570	0.4405241353
571	0.4395211621
572	0.4391124415
573	0.4386048967
574	0.4380827875
575	0.4377038961
576	0.4372205125
577	0.43667421
578	0.4361688714
579	0.4355363975
580	0.4350489057
581	0.4343416335
582	0.4338086916
583	0.4331300994
584	0.432893933
585	0.4325352676
586	0.4318405957
587	0.4311248586
588	0.4305698946
589	0.4300246373
590	0.4293695957
591	0.4289882458
592	0.4282707286
593	0.4275655098
594	0.4269567991
595	0.4265194314
596	0.4257770062
597	0.4253393431
598	0.4250307152
599	0.4243511961
600	0.4239928799
601	0.4233553286
602	0.4229453165
603	0.422159174
604	0.4218682977
605	0.4215734135
606	0.4209796814
607	0.42050545
608	0.4198829806
609	0.4194171619
610	0.4191303141
611	0.4183337192
612	0.4178351728
613	0.417153771
614	0.4164947891
615	0.4161736522
616	0.4153710921
617	0.4148727821
618	0.4141827398
619	0.413474526
620	0.4130232731
621	0.412407672
622	0.4119315673
623	0.4116482297
624	0.4113371572
625	0.410870643
626	0.4104077583
627	0.4099613601
628	0.4094682438
629	0.4090282423
630	0.4083510836
631	0.4080005847
632	0.4072659552
633	0.4064660283
634	0.4059301482
635	0.4052401246
636	0.4046115769
637	0.4043577768
638	0.4038210204
639	0.4031567176
640	0.4024638453
641	0.4019075676
642	0.401609016
643	0.4011148943
644	0.4004277565
645	0.3998696962
646	0.399430974
647	0.3989364046
648	0.3982823425
649	0.3978089575
650	0.3974424675
651	0.3967952571
652	0.3963009595
653	0.3957169758
654	0.3951990855
655	0.3946346286
656	0.3940054393
657	0.3935351437
658	0.3928892417
659	0.3924302317
660	0.3920887684
661	0.391669255
662	0.3912018534
663	0.3904634614
664	0.389882774
665	0.3894106061
666	0.3892098687
667	0.3885477023
668	0.3879457573
669	0.3875484388
670	0.3873434403
671	0.3865284597
672	0.3862357256
673	0.3857369453
674	0.3851404598
675	0.3847212238
676	0.3842957011
677	0.3839156958
678	0.3831348219
679	0.382773421
680	0.382152718
681	0.3816063905
682	0.3812199141
683	0.3805893406
684	0.3801954157
685	0.3796896181
686	0.3793420894
687	0.3789686059
688	0.3783966283
689	0.3779099648
690	0.3775670661
691	0.377214241
692	0.3770112045
693	0.3765383734
694	0.3760426274
695	0.3756610473
696	0.375098475
697	0.3744927112
698	0.3740590689
699	0.3735812037
700	0.3731237609
701	0.3727914981
702	0.3722916817
703	0.371764535
704	0.3712732994
705	0.3704255975
706	0.3701810341
707	0.3697822695
708	0.3693412155
709	0.368866785
710	0.3682060686
711	0.3678839371
712	0.3672468384
713	0.3667692489
714	0.3661741385
715	0.3659616463
716	0.3656201075
717	0.3650702241
718	0.3643977855
719	0.3641129057
720	0.3637735859
721	0.363222993
722	0.3628698766
723	0.3626611313
724	0.3623097508
725	0.3616672479
726	0.361346742
727	0.3607534556
728	0.3603798336
729	0.360013657
730	0.3592956402
731	0.3588150929
732	0.3584052438
733	0.3578245485
734	0.3573399796
735	0.3570104728
736	0.356813793
737	0.3565247058
738	0.3560354224
739	0.3553415765
740	0.3548614063
741	0.3544052535
742	0.3538927959
743	0.3532847226
744	0.3529401857
745	0.3525798386
746	0.3522997863
747	0.3518384692
748	0.3513237931
749	0.3510695283
750	0.3506035534
751	0.3502503972
752	0.3496095076
753	0.3489880353
754	0.3484700744
755	0.348248023
756	0.3479292537
757	0.3476863924
758	0.3471294322
759	0.3466271268
760	0.3463910159
761	0.3460593073
762	0.3456364691
763	0.3450596346
764	0.3445338079
765	0.3441969229
766	0.3437957404
767	0.3432037636
768	0.3429451381
769	0.3423980614
770	0.3421008633
771	0.3417589012
772	0.3414135224
773	0.341024587
774	0.3403925462
775	0.3398265315
776	0.3393529213
777	0.3387087311
778	0.3382154677
779	0.3378097084
780	0.3373819934
781	0.336895415
782	0.3365981844
783	0.3361632443
784	0.3360671674
785	0.3356839285
786	0.3350716756
787	0.3344298762
788	0.3340692153
789	0.3337672954
790	0.333366368
791	0.3330045288
792	0.3323891173
793	0.3321135905
794	0.3315165536
795	0.3311715556
796	0.3308250911
797	0.3304689187
798	0.3301155537
799	0.3296659225
800	0.3293063969
801	0.3289801328
802	0.3284750448
803	0.3280894944
804	0.3277199176
805	0.3272753014
806	0.326828002
807	0.3262449296
808	0.3256641554
809	0.3252900132
810	0.3249944299
811	0.3247366153
812	0.3241586729
813	0.3234916566
814	0.3229266782
815	0.322482794
816	0.3223354743
817	0.3220683315
818	0.3216810775
819	0.3212691043
820	0.3209685569
821	0.3205781174
822	0.3201030847
823	0.3197816172
824	0.3193946429
825	0.3190324153
826	0.3184580334
827	0.318054982
828	0.3176333773
829	0.3172245795
830	0.3169742551
831	0.3167004845
832	0.3162205819
833	0.315816928
834	0.3154607358
835	0.3149614095
836	0.3144666963
837	0.3140148214
838	0.3135029695
839	0.3131787456
840	0.3127275487
841	0.3122136897
842	0.3115133705
843	0.3112548097
844	0.310840215
845	0.3103393205
846	0.3098325123
847	0.3094362992
848	0.3089929897
849	0.30849106
850	0.3080445126
851	0.307579653
852	0.3070696412
853	0.3067073789
854	0.3062295141
855	0.3060248604
856	0.3057572548
857	0.305150983
858	0.3048140831
859	0.3042636658
860	0.3038198843
861	0.3035388801
862	0.3031762815
863	0.3027306858
864	0.3022463899
865	0.3019198352
866	0.3015747127
867	0.3012170761
868	0.3009139814
869	0.3002448719
870	0.2999915825
871	0.2996585326
872	0.2991903412
873	0.2987935201
874	0.2984548594
875	0.2983031246
876	0.2981305811
877	0.2978585598
878	0.2973385008
879	0.2970387036
880	0.2966047959
881	0.2961331584
882	0.2958252925
883	0.2952098272
884	0.2949709382
885	0.2945824773
886	0.2941639395
887	0.2938836888
888	0.2936044691
889	0.2934506165
890	0.2932857809
891	0.2926969417
892	0.2922465111
893	0.2919237472
894	0.2916928061
895	0.2913756
896	0.2910315391
897	0.2907640199
898	0.2903289444
899	0.2900293745
900	0.2897858589
901	0.2893756272
902	0.2891744718
903	0.2888244785
904	0.2883012712
905	0.2879760989
906	0.2877665828
907	0.2874268596
908	0.2870415378
909	0.2866054657
910	0.2863335776
911	0.2860425071
912	0.2857809734
913	0.2854154535
914	0.2849334333
915	0.2844348669
916	0.2843052518
917	0.2838551194
918	0.2835187379
919	0.2831670652
920	0.2828480367
921	0.2825053678
922	0.2820520859
923	0.2818168465
924	0.2812583993
925	0.2808216458
926	0.2805603883
927	0.2802937678
928	0.2800923537
929	0.2797481945
930	0.2795524641
931	0.2792306474
932	0.2787317199
933	0.2782986639
934	0.2779363653
935	0.2776577583
936	0.277367619
937	0.276952833
938	0.2767117419
939	0.2765332594
940	0.2761567624
941	0.2758119972
942	0.2753486812
943	0.275106943
944	0.2748588027
945	0.274360192
946	0.2741631176
947	0.2739582772
948	0.2736431593
949	0.2734605934
950	0.2730437432
951	0.2727457276
952	0.2724642367
953	0.2720792855
954	0.2717482072
955	0.271221967
956	0.2709638596
957	0.2706238247
958	0.2702735146
959	0.270056534
960	0.269907561
961	0.2695244388
962	0.2691776353
963	0.2688549843
964	0.2686058069
965	0.2681296701
966	0.2678328396
967	0.2675495541
968	0.2672542012
969	0.266997226
970	0.2666805721
971	0.266357941
972	0.2659578297
973	0.2655549351
974	0.2653472427
975	0.2650621696
976	0.2649290271
977	0.2648002255
978	0.2644758616
979	0.2640031084
980	0.2638406436
981	0.2635581162
982	0.2632496004
983	0.2630687392
984	0.2626381925
985	0.2624063378
986	0.2622314187
987	0.2617958136
988	0.2614540125
989	0.2611703852
990	0.2608123345
991	0.2604978004
992	0.2602427098
993	0.2599101278
994	0.2596372152
995	0.2593426966
996	0.2592035908
997	0.2589819581
998	0.2585093313
999	0.2583366827
